index,words,jyutping,meanings,note,category_1,category_2,category_3
119,衰婆,seoi1 po4-2,【詈】對女人辱駡的稱呼。,,一、人物,一B男女老少,一B4成年女性
120,姣婆,haau4 po4,【詈】淫蕩的女人，用於罵人的稱呼。,,一、人物,一B男女老少,一B4成年女性
121,爛番茄,laan6 faan1 ke4-2,【貶】【俗】失去貞操的女人。,,一、人物,一B男女老少,一B4成年女性
122,阿（亞）爸,aa3 baa4,爸爸。,,一、人物,一C親屬、親戚,一C1父母輩
123,爹哋,de1 di4,【外】爸爸。,[英語daddy],一、人物,一C親屬、親戚,一C1父母輩
124,老竇（豆）,lou5-2 dau6-5,父親（一般不用於當面稱呼；現在有的青年用作對父親的當面稱呼，則帶有開玩笑的口吻）。我～唔畀我去。（我父親不讓我去。）│～，快啲啦！（老頭子，快點兒！）,,一、人物,一C親屬、親戚,一C1父母輩
125,伯爺,baak3 je4-1,【舊】父親（不用於當面稱呼）。,,一、人物,一C親屬、親戚,一C1父母輩
126,爺,je4,父親（一般不單獨使用）。仔～（父子）│契～（乾爹）。,,一、人物,一C親屬、親戚,一C1父母輩
127,阿（亞）媽,aa3 maa1,媽媽。,,一、人物,一C親屬、親戚,一C1父母輩
128,媽咪,maa1 mi4,【外】媽媽。,[英語mummy],一、人物,一C親屬、親戚,一C1父母輩
129,老母,lou5-2 mou5-2,母親（一般不用於當面稱呼）。,,一、人物,一C親屬、親戚,一C1父母輩
130,*老媽子,lou5 maa1 zi2,上年紀的母親（這是不太莊重的稱呼，一般不用於當面稱呼；如用於當面稱呼，則帶開玩笑的口吻）。,[重見一E1],一、人物,一C親屬、親戚,一C1父母輩
131,乸,naa2,母親（一般不單獨使用）。仔～（母子）│契～（乾媽）。,,一、人物,一C親屬、親戚,一C1父母輩
132,大媽,daai6 maa1,【舊】嫡母。,,一、人物,一C親屬、親戚,一C1父母輩
133,阿（亞）大,aa3 daai6,【舊】對嫡母的稱呼。,,一、人物,一C親屬、親戚,一C1父母輩
134,細姐,sai3 ze2,【舊】庶母。,[又作“細媽”],一、人物,一C親屬、親戚,一C1父母輩
135,阿（亞）細,aa3 sai3,【舊】對庶母的稱呼。,,一、人物,一C親屬、親戚,一C1父母輩
136,後底爺,hau6 dai2 je4-2,繼父。,,一、人物,一C親屬、親戚,一C1父母輩
137,後底乸,hau6 dai2 naa2,繼母。,,一、人物,一C親屬、親戚,一C1父母輩
138,*阿（亞）伯,aa3 baak3,伯父（父親的哥哥）,[重見一B3],一、人物,一C親屬、親戚,一C1父母輩
139,*伯娘,baak3 noeng4,伯母（伯父之妻）。,"[廣州話“伯母”與“百冇""（百樣皆無）同音，故避忌而改稱伯娘。重見一B5]",一、人物,一C親屬、親戚,一C1父母輩
140,*阿（亞）叔,aa3 suk1,叔叔（父親的弟弟）。,[重見一B2],一、人物,一C親屬、親戚,一C1父母輩
141,阿（亞）嬸,aa3 sam2,嬸嬸。,,一、人物,一C親屬、親戚,一C1父母輩
142,姑媽,gu1 maa1,父親的姐姐。,[普通話的姑媽指父親的姐妹，範圍比廣州話大],一、人物,一C親屬、親戚,一C1父母輩
143,姑姐,gu1 ze2-1,父親的妹妹，姑姑。,,一、人物,一C親屬、親戚,一C1父母輩
144,姑丈,gu1 zoeng6-2,姑父。,,一、人物,一C親屬、親戚,一C1父母輩
145,舅父,kau5 fu2,父讀2聲。舅舅,,一、人物,一C親屬、親戚,一C1父母輩
146,妗母,kam5 mou5-2,。舅母。,,一、人物,一C親屬、親戚,一C1父母輩
147,姨媽,ji4 maa1,母親的姐姐。,[普通話的姨媽指母親的姐妹，範圍比廣州話大],一、人物,一C親屬、親戚,一C1父母輩
148,阿（亞）姨,aa3 ji4-1,母親的妹妹。,[也作對母親同輩的女性的尊稱，這同於普通話],一、人物,一C親屬、親戚,一C1父母輩
149,*姨仔,ji4-1 zai2,母親最小的妹妹（一般衹是小孩使用）。,[重見一C3],一、人物,一C親屬、親戚,一C1父母輩
150,家公,gaa1 gung1,公公。（丈夫的父親）,,一、人物,一C親屬、親戚,一C1父母輩
151,老爺,lou5 je4,【舊】公公。,,一、人物,一C親屬、親戚,一C1父母輩
152,大人公,daai6 jan4 gung1,【舊】公公。,,一、人物,一C親屬、親戚,一C1父母輩
153,家婆,gaa1 po4-2,婆婆（丈夫的母親）,,一、人物,一C親屬、親戚,一C1父母輩
154,奶奶,naai5-4 naai5-2,【舊】婆婆。,,一、人物,一C親屬、親戚,一C1父母輩
155,安人,on1 jan4,【舊】【敬】對婆婆的尊稱。,[本是明清時六品官員之妻的封號],一、人物,一C親屬、親戚,一C1父母輩
156,外父,ngoi6 fu2,岳父。,,一、人物,一C親屬、親戚,一C1父母輩
157,外母,ngoi6 mou5,岳母,,一、人物,一C親屬、親戚,一C1父母輩
158,外母乸,ngoi6 mou5-2 naa2,【謔】岳母。,,一、人物,一C親屬、親戚,一C1父母輩
159,阿（亞）爺,aa3 je4,爺爺。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
160,阿（亞）嫲,aa3 maa4,奶奶。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
161,嫲嫲,maa4 maa4,奶奶。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
162,*阿（亞）公1,aa3 gung1,外祖父。,[重見一C3],一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
163,公公,gung1 gung1,外祖父。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
164,*阿（亞）婆,aa3 po4,外祖母。,[重見一B4],一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
165,婆婆,po4 po4-1,外祖母。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
166,伯公,baak3 gung1,伯祖（父親的伯父）。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
167,伯婆,baak3 po4,伯祖母（父親的伯母）。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
168,叔公,suk1 gung1,叔祖（父親的叔叔）。,,一、人物,一C親屬、親戚,一C2祖輩、曾祖輩
